,scheduling_overhead
931,25.00009536743164
932,29.000043869018555
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,16.99995994567871
940,1.0001659393310547
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,21.999835968017578
950,0.0
951,0.0
952,28.999805450439453
953,0.0
954,16.000032424926758
955,24.000167846679688
956,0.0
957,13.000011444091797
958,0.0
959,19.00005340576172
960,0.0
961,0.0
962,23.000001907348633
963,0.0
964,0.0
965,0.0
966,0.9999275207519531
967,0.0
968,0.0
969,0.0
970,16.99995994567871
971,0.0
972,0.0
973,0.0
974,33.99991989135742
975,23.000001907348633
976,0.0
977,0.0
978,16.000032424926758
979,0.0
980,28.999805450439453
981,0.0
982,0.0
983,20.999908447265625
984,33.99991989135742
985,16.99995994567871
986,13.99993896484375
987,24.99985694885254
988,0.0
989,0.0
990,13.000011444091797
991,26.000022888183594
992,16.99995994567871
993,0.0
994,0.0
995,0.0
996,0.0
997,16.99995994567871
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,14.999866485595703
1004,19.00005340576172
1005,19.999980926513672
1006,0.0
1007,22.00007438659668
1008,0.0
1009,0.0
1010,29.999971389770508
1011,23.000001907348633
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,26.000022888183594
1018,15.000104904174805
1019,0.0
1020,23.999929428100586
1021,21.000146865844727
1022,22.00007438659668
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,16.000032424926758
1029,24.000167846679688
1030,0.0
1031,0.0
1032,26.000022888183594
1033,21.000146865844727
1034,32.99999237060547
1035,0.9999275207519531
1036,24.000167846679688
1037,0.0
1038,0.0
1039,0.0
1040,18.999814987182617
1041,0.0
1042,0.0
1043,0.0
1044,12.000083923339844
1045,1.0001659393310547
1046,16.99995994567871
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,28.0001163482666
1052,0.0
1053,19.999980926513672
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,25.00009536743164
1060,0.0
1061,0.0
1062,0.0
1063,26.000022888183594
1064,0.0
1065,0.0
1066,0.0
1067,19.00005340576172
1068,28.0001163482666
1069,23.000001907348633
1070,0.0
1071,18.000125885009766
1072,19.999980926513672
1073,0.0
1074,20.999908447265625
1075,0.0
1076,23.999929428100586
1077,0.0
1078,0.0
1079,0.0
1080,17.999887466430664
1081,19.999980926513672
1082,0.0
1083,0.0
1084,21.999835968017578
1085,0.0
1086,16.99995994567871
1087,0.0
1088,13.000011444091797
1089,0.0
1090,0.0
1091,0.0
1092,20.000219345092773
1093,0.0
1094,0.0
1095,0.0
1096,22.00007438659668
1097,0.0
1098,0.0
1099,0.0
1100,23.999929428100586
1101,22.00007438659668
1102,28.0001163482666
1103,16.99995994567871
1104,0.0
1105,19.999980926513672
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,19.00005340576172
1111,0.0
1112,0.0
1113,22.00007438659668
1114,0.0
1115,0.0
1116,25.00009536743164
1117,18.000125885009766
1118,20.999908447265625
1119,0.0
1120,0.0
1121,0.0
1122,23.999929428100586
1123,16.000032424926758
1124,25.00009536743164
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,1.0001659393310547
1135,18.000125885009766
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,19.999980926513672
1144,17.999887466430664
1145,10.999917984008789
1146,21.999835968017578
1147,0.0
1148,16.000032424926758
1149,19.999980926513672
1150,23.999929428100586
1151,19.999980926513672
1152,23.000001907348633
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,17.999887466430664
1159,25.00009536743164
1160,23.000001907348633
1161,0.0
1162,20.999908447265625
1163,0.0
1164,23.000001907348633
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,23.999929428100586
1172,0.0
1173,28.0001163482666
1174,0.0
1175,19.00005340576172
